time_index,percolating,A_max_frac,AF,mean_width_px,median_width_px,finger_count,gini_k,logk_mean,logk_std,anisotropy_ratio,n_labels,percolating_label
15,False,0.0147,0.0895,0.0,0.0,47,0.8199386059942182,-0.03974038064346728,0.8113774905641188,13.529414866858485,19,-1
16,False,0.0175,0.0873,0.0,0.0,42,0.8271279373263773,-0.03461690444729338,0.8162892906156924,14.24243432073983,17,-1
17,False,0.0189,0.0866,0.0,0.0,43,0.8327201560577016,-0.029483815981776296,0.8210138045258445,14.77164022413684,17,-1
18,False,0.0197,0.0894,0.0,0.0,47,0.8379090906864037,-0.024380498441505187,0.8256869088232155,14.95594509959775,19,-1
19,False,0.0219,0.0886,0.0,0.0,44,0.8424785375337629,-0.019157966934447154,0.8304357072958327,14.892330254026879,17,-1
20,False,0.0223,0.0874,0.0,0.0,42,0.8469219333518501,-0.014157513369717815,0.8348923078333075,14.925353272653112,16,-1
21,False,0.0234,0.0879,0.0,0.0,41,0.8503636066346068,-0.00921340048720325,0.8388500196781215,14.746382038600776,16,-1
22,False,0.0246,0.0883,0.0,0.0,43,0.8531883910835876,-0.004428087999442846,0.842408579643593,14.75565536364163,16,-1
23,False,0.0252,0.0865,0.0,0.0,38,0.855445678068457,0.00046893126027895845,0.8458725940604347,14.867527369017365,14,-1
24,False,0.0252,0.087,0.0,0.0,37,0.8572200819149312,0.005352010457568633,0.8490916440634035,14.784056935256737,14,-1
25,False,0.025,0.0873,0.0,0.0,36,0.8589352296366435,0.010268746221273278,0.8525024111006881,15.331622230916588,14,-1
26,False,0.0154,0.0867,0.0,0.0,34,0.8606264960640277,0.015073696211736706,0.8556695866564588,15.927198126903681,14,-1
27,False,0.0155,0.0862,0.0,0.0,35,0.8619075976134312,0.019926510888040143,0.8585918676128731,16.46406510887549,13,-1
28,False,0.0155,0.0869,0.0,0.0,35,0.8629720781717736,0.02485729007774796,0.8614094002583768,16.491666938925473,13,-1
29,False,0.0157,0.0864,0.0,0.0,32,0.8638395156143086,0.029689692495197637,0.8638178321025125,16.64726621713342,12,-1
30,False,0.016,0.0863,0.0,0.0,33,0.8644676624277572,0.03442698898976767,0.8660471709934215,16.72062111631823,12,-1
31,False,0.0161,0.0862,0.0,0.0,34,0.8649281633844308,0.03909469394736776,0.8681677780069113,16.918528514911923,12,-1
32,False,0.0268,0.0848,0.0,0.0,30,0.8652936759698306,0.043819960625594845,0.8702038925221265,16.678683453209175,10,-1
33,False,0.0269,0.0848,0.0,0.0,32,0.8656348806297209,0.04862611946860948,0.8722665398313378,16.71012644269838,10,-1
34,False,0.0271,0.0849,0.0,0.0,32,0.8659334863488426,0.05349785820845842,0.8742732771016517,16.70341726586149,10,-1
35,False,0.0273,0.0852,0.0,0.0,32,0.8660130814395022,0.05844972755222677,0.8761959078295611,16.7480657281512,10,-1
36,False,0.0275,0.086,0.0,0.0,33,0.8661652316090807,0.06329647007070457,0.8777838991011615,16.4420623901905,11,-1
37,False,0.0277,0.086,0.0,0.0,33,0.8661844278201007,0.06825618090294655,0.8790825657882662,16.45765325684805,11,-1
38,False,0.0279,0.0871,0.0,0.0,35,0.8663654890130648,0.07320199462242231,0.8804206913843312,16.451148764416132,12,-1
39,False,0.0281,0.0872,0.0,0.0,35,0.8665070256085203,0.07815107762638325,0.8819347090210019,16.53988824317656,12,-1
40,False,0.0283,0.0875,0.0,0.0,36,0.8666480937240242,0.08304745349023326,0.8835502314191153,16.50680210919903,12,-1
41,False,0.0284,0.0886,0.0,0.0,40,0.8669203501176566,0.08780614546680619,0.885226661917394,17.586018865404146,13,-1
42,False,0.0285,0.0888,0.0,0.0,39,0.8673230918141093,0.09230383980090094,0.8870718551516914,17.69793720507305,13,-1
43,False,0.0285,0.0877,0.0,0.0,38,0.8679057996726991,0.0966429027693371,0.8890120499307529,18.88875410477641,12,-1
44,False,0.0284,0.0878,0.0,0.0,38,0.8685447095807146,0.1007811805409108,0.8907626614218428,19.779409683547755,12,-1
45,False,0.0285,0.088,0.0,0.0,38,0.8692502328757701,0.10461032162147349,0.8921763916361102,20.252378055951286,12,-1
46,False,0.0285,0.0881,0.0,0.0,36,0.8700249178197157,0.10826618845037232,0.8934085722589908,20.020884679026356,12,-1
47,False,0.0286,0.0885,0.0,0.0,36,0.870924365588589,0.11177714941032668,0.8946735877702459,20.132946613134266,12,-1
