Calcite 100years,Gypsum 100years,Ferrihydrite 100years,Jarosite 100years,Gibbsite 100years,Siderite 100years,Calcite 1000years,Gypsum 1000years,Ferrihydrite 1000years,Jarosite 1000years,Gibbsite 1000years,Siderite 1000years,Calcite 3000years,Gypsum 3000years,Ferrihydrite 3000years,Jarosite 3000years,Gibbsite 3000years,Siderite 3000years
2.20E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.19E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.18E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02
2.20E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.19E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.18E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02
2.20E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.19E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.18E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02
2.20E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.19E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.18E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02
2.20E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.19E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.18E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02
2.20E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.19E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.18E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02
2.20E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.19E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.18E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02
2.20E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.19E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.18E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02
2.20E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.19E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.18E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02
2.20E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.19E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.18E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02
2.20E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.19E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.18E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02
2.20E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.19E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.18E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02
2.20E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.19E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.17E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02
2.20E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.19E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.17E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02
2.20E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.19E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.17E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02
2.20E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.19E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.17E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02
2.20E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.19E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.17E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02
2.20E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.19E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.17E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02
2.20E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.19E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.17E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02
2.20E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.19E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.16E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02
2.20E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.19E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.16E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02
2.20E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.19E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.16E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02
2.20E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.19E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.16E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02
2.20E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.18E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.15E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,4.99E-02
2.20E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.18E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.15E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,4.99E-02
2.20E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.18E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.15E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,4.99E-02
2.20E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.18E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.14E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,4.99E-02
2.20E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.18E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.14E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,4.99E-02
2.20E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.18E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.13E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,4.99E-02
2.20E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.18E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.13E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,4.99E-02
2.20E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.17E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.12E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,4.99E-02
2.20E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.17E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.11E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,4.99E-02
2.20E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.17E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.10E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,4.99E-02
2.20E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.16E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.09E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,4.99E-02
2.20E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.16E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.08E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,4.99E-02
2.20E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.15E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.06E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,4.99E-02
2.20E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.15E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,4.99E-02,2.04E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,4.98E-02
2.20E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.14E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,4.99E-02,2.01E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,4.98E-02
2.19E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.13E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,4.99E-02,1.98E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,4.98E-02
2.19E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.11E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,4.99E-02,1.94E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,4.98E-02
2.19E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.09E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,4.99E-02,1.89E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,4.97E-02
2.19E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.06E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,4.99E-02,1.81E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,4.97E-02
2.19E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,2.03E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,4.99E-02,1.72E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,4.96E-02
2.18E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,5.00E-02,1.97E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,4.98E-02,1.60E-01,1.00E-10,1.00E-10,1.00E-10,5.00E-02,4.96E-02
2.18E-01,1.00E-10,2.98E-08,1.00E-10,5.00E-02,5.00E-02,1.91E-01,1.00E-10,3.67E-07,1.00E-10,5.01E-02,4.98E-02,1.46E-01,1.00E-10,1.32E-06,1.00E-10,5.02E-02,4.95E-02
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
