Porosity 10years,Hydraulic conductivity 10years,Hydraulic head 10years,Calcite 10years,Gypsum 10years,Porosity 100years,Hydraulic conductivity 100years,Hydraulic head 100years,Calcite 100years,Gypsum 100years,Porosity 1000years,Hydraulic conductivity 1000years,Hydraulic head 1000years,Calcite 1000years,Gypsum 1000years
3.50E-01,1.16E-04,1.48E-03,3.00E-01,2.18E-06,3.50E-01,1.16E-04,4.13E-07,3.00E-01,2.43E-06,3.50E-01,1.16E-04,7.04E-09,3.00E-01,2.43E-06
3.50E-01,1.16E-04,1.40E-03,3.00E-01,2.25E-06,3.50E-01,1.16E-04,3.90E-07,3.00E-01,2.44E-06,3.50E-01,1.16E-04,6.65E-09,3.00E-01,2.44E-06
3.50E-01,1.16E-04,1.31E-03,3.00E-01,2.33E-06,3.50E-01,1.16E-04,3.67E-07,3.00E-01,2.48E-06,3.50E-01,1.16E-04,6.26E-09,3.00E-01,2.48E-06
3.50E-01,1.16E-04,1.23E-03,3.00E-01,2.41E-06,3.50E-01,1.16E-04,3.44E-07,3.00E-01,2.52E-06,3.50E-01,1.16E-04,5.87E-09,3.00E-01,2.52E-06
3.50E-01,1.16E-04,1.15E-03,3.00E-01,2.48E-06,3.50E-01,1.16E-04,3.21E-07,3.00E-01,2.57E-06,3.50E-01,1.16E-04,5.48E-09,3.00E-01,2.57E-06
3.50E-01,1.16E-04,1.07E-03,3.00E-01,2.55E-06,3.50E-01,1.16E-04,2.98E-07,3.00E-01,2.61E-06,3.50E-01,1.16E-04,5.09E-09,3.00E-01,2.61E-06
3.50E-01,1.16E-04,9.86E-04,3.00E-01,2.61E-06,3.50E-01,1.16E-04,2.75E-07,3.00E-01,2.65E-06,3.50E-01,1.16E-04,4.70E-09,3.00E-01,2.65E-06
3.50E-01,1.16E-04,9.04E-04,3.00E-01,2.65E-06,3.50E-01,1.16E-04,2.52E-07,3.00E-01,2.68E-06,3.50E-01,1.16E-04,4.30E-09,3.00E-01,2.68E-06
3.50E-01,1.16E-04,8.22E-04,3.00E-01,2.67E-06,3.50E-01,1.16E-04,2.29E-07,3.00E-01,2.69E-06,3.50E-01,1.16E-04,3.91E-09,3.00E-01,2.69E-06
3.50E-01,1.16E-04,7.39E-04,3.00E-01,2.67E-06,3.50E-01,1.16E-04,2.06E-07,3.00E-01,2.69E-06,3.50E-01,1.16E-04,3.52E-09,3.00E-01,2.69E-06
3.50E-01,1.16E-04,6.57E-04,3.00E-01,2.65E-06,3.50E-01,1.16E-04,1.83E-07,3.00E-01,2.66E-06,3.50E-01,1.16E-04,3.13E-09,3.00E-01,2.66E-06
3.50E-01,1.16E-04,5.75E-04,3.00E-01,2.59E-06,3.50E-01,1.16E-04,1.60E-07,3.00E-01,2.61E-06,3.50E-01,1.16E-04,2.74E-09,3.00E-01,2.61E-06
3.50E-01,1.16E-04,4.93E-04,3.00E-01,2.52E-06,3.50E-01,1.16E-04,1.38E-07,3.00E-01,2.52E-06,3.50E-01,1.16E-04,2.35E-09,3.00E-01,2.52E-06
3.50E-01,1.16E-04,4.11E-04,3.00E-01,2.65E-06,3.50E-01,1.16E-04,1.15E-07,3.00E-01,2.65E-06,3.50E-01,1.16E-04,1.96E-09,3.00E-01,2.65E-06
3.50E-01,1.16E-04,3.29E-04,3.00E-01,2.83E-06,3.50E-01,1.16E-04,9.17E-08,3.00E-01,2.84E-06,3.50E-01,1.16E-04,1.57E-09,3.00E-01,2.84E-06
3.50E-01,1.16E-04,2.46E-04,3.00E-01,3.02E-06,3.50E-01,1.16E-04,6.88E-08,3.00E-01,3.03E-06,3.50E-01,1.16E-04,1.17E-09,3.00E-01,3.03E-06
3.50E-01,1.16E-04,1.64E-04,3.00E-01,3.21E-06,3.50E-01,1.16E-04,4.58E-08,3.00E-01,3.22E-06,3.50E-01,1.16E-04,7.83E-10,3.00E-01,3.22E-06
3.50E-01,1.16E-04,8.22E-05,3.00E-01,3.41E-06,3.50E-01,1.16E-04,2.29E-08,3.00E-01,3.41E-06,3.50E-01,1.16E-04,3.91E-10,3.00E-01,3.41E-06
3.50E-01,1.16E-04,0.00E+00,3.00E-01,3.50E-06,3.50E-01,1.16E-04,0.00E+00,3.00E-01,3.51E-06,3.50E-01,1.16E-04,0.00E+00,3.00E-01,3.51E-06
